,src_port,dst_port,pct,airline,src_lat,src_lon,dst_lat,dst_lon,src_loc,dst_loc
32,KATL,KMSP,0.011111111111111112,Delta Air Lines,33.6366972222222,-84.4278638888889,44.8819722222222,-93.2217777777778,POINT (-84.4278638888889 33.6366972222222),POINT (-93.2217777777778 44.8819722222222)
33,KATL,KIAD,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,38.9474444444444,-77.4599444444444,POINT (-84.4278638888889 33.6366972222222),POINT (-77.4599444444444 38.9474444444444)
36,KATL,KMDT,0.011111111111111112,Delta Air Lines,33.6366972222222,-84.4278638888889,40.1931888888889,-76.7626194444444,POINT (-84.4278638888889 33.6366972222222),POINT (-76.7626194444444 40.1931888888889)
39,KATL,KSDF,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,38.1740833333333,-85.7364972222222,POINT (-84.4278638888889 33.6366972222222),POINT (-85.7364972222222 38.1740833333333)
40,KATL,KDAY,0.011111111111111112,Delta Air Lines,33.6366972222222,-84.4278638888889,39.90225,-84.2194166666667,POINT (-84.4278638888889 33.6366972222222),POINT (-84.2194166666667 39.90225)
42,KATL,KTPA,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,27.9754722222222,-82.53325,POINT (-84.4278638888889 33.6366972222222),POINT (-82.53325 27.9754722222222)
44,KATL,KHPN,0.022222222222222223,Delta Air Lines,33.6366972222222,-84.4278638888889,41.06695,-73.7075638888889,POINT (-84.4278638888889 33.6366972222222),POINT (-73.7075638888889 41.06695)
50,KORD,KCLT,0.0273972602739726,American Airlines,41.9745194444444,-87.9065972222222,35.21375,-80.9490555555556,POINT (-87.9065972222222 41.9745194444444),POINT (-80.9490555555556 35.21375)
51,KORD,KMSP,0.022222222222222223,Delta Air Lines,41.9745194444444,-87.9065972222222,44.8819722222222,-93.2217777777778,POINT (-87.9065972222222 41.9745194444444),POINT (-93.2217777777778 44.8819722222222)
52,KORD,KMCO,0.058823529411764705,United Airlines,41.9745194444444,-87.9065972222222,28.4293888888889,-81.309,POINT (-87.9065972222222 41.9745194444444),POINT (-81.309 28.4293888888889)
53,KORD,KPSP,0.0273972602739726,American Airlines,41.9745194444444,-87.9065972222222,33.8296666666667,-116.506694444444,POINT (-87.9065972222222 41.9745194444444),POINT (-116.506694444444 33.8296666666667)
55,KORD,MDBG,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,18.5325,-68.6697222,POINT (-87.9065972222222 41.9745194444444),POINT (-68.6697222 18.5325)
